Blocker ID,Blocker/module name,Category,File,Function,Strategy affected,Earliest commit,Earliest date,First version,Original purpose,Original severity,Current severity,Current default state,Exact condition,Exact action taken,Exact log/block reason,Independent veto,Duplicates another blocker,Duplicate-of,Strengthened in commit/version,Still active in latest,Old-period presence,Current-period presence,Expected trade-frequency impact,False-block risk,Recommendation,Evidence
B036,EffectiveMaxPyramidAdds hard equity-tier cutoffs,Pyramid restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,EffectiveMaxPyramidAdds(),Pyramiding,"post-window (per prior in-repo audit, not present in v5.8.50)",2026-06-28..07-14 (exact commit not independently pinned),v6.x,"Cap max pyramid adds by hard equity tiers (1 add below $25k, up to 3 above $25k, up to 4 above $50k)",HARD,HARD,always-on,equity tier,pyramid add count capped,"(function return value, no dedicated Print string identified in this pass)","no (size/count limiter, not a full veto)",yes,B035,unconfirmed,yes,absent,present,"HIGH for small accounts specifically (structurally cannot pyramid the way the growth-era big account did, BY DESIGN, regardless of setup quality -- per prior in-repo audit, re-verified as a real function in current source)","LOW for large accounts / HIGH for small accounts (a known, deliberate, non-proportional restriction)","SOFTEN (replace hard equity-tier cutoffs with margin-projection-aware %%-of-equity curve, per prior audit's recommendation, independently endorsed here)",git log -S EffectiveMaxPyramidAdds; v6.23.3:10031 region
B037,InpMinAccountLotFloor override,Risk & lot-sizing,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,input InpMinAccountLotFloor,All setups (esp. small accounts),pre-window,<2026-05-15,pre-v5.8,Ensure a minimum tradeable lot size regardless of risk-%% cap,SOFT->override (deliberately overrides risk-%% cap),"NEUTERED as of v6.17.17-v6.18.0 (comment confirms 'legacy input, no longer used to override sizing... retained for back-compat/telemetry only')",default 0.10 but inert,n/a (input no longer wired),n/a,"v6.17.17-v6.18.0: legacy input, no longer used to override sizing (see InpNormalRiskPct)",no,no,,superseded by InpNormalRiskPct-based sizing (v6.17.17/v6.18.0),PARTIALLY (input still exists but is inert per its own comment),present (risk-%% override existed),present but neutered,none (already fixed),none (already fixed -- included for completeness since a prior audit flagged this as dangerous and it has since been resolved),FIX_BUG (already done -- verify no other code path still reads this input as authoritative),v6.23.3:2275 comment
B038,PyramidAdaptiveConfirmPass,Pyramid restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,PyramidAdaptiveConfirmPass(),Pyramiding,c6c2040-era,2026-05-18,v5.8.x,Require adaptive confirmation before a pyramid add,HARD,HARD,always-on,confirmation fails,pyramid add skipped,(dashboard tag PYRAMID via AdaptiveXAUConfirm),yes,yes,B035/B036,"unchanged core math per prior audit (InpPyramidRescueMaxATR=1.80 etc byte-identical, independently re-verified present at v6.23.3:2901)",yes,present (v5.8.50:3207),present (v6.23.3:12133),medium,"low (math itself is the proven growth-era math, unchanged)",KEEP_HARD (math) / MERGE (gate wrapper with B035/B036),v5.8.50:3197; v6.23.3:12133; v6.23.3:2901
B039,EPF_BlockPyramidAdd,Pyramid restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,EPF_BlockPyramidAdd(),Pyramiding,1301b07,2026-05-12,pre-v5.8,Block pyramid adds when Entry Price Floor tier is active,HARD (with 0.70x soften fallback in one call site),HARD,always-on,EPF tier active,pyramid add blocked or 0.70x sized,(no single Print string; used as boolean condition),yes,yes,B035/B036/B038,unchanged,yes,present (v5.8.50:3701/3864/4211),present (v6.23.3:13327),medium,low-medium,MERGE (pyramid gate family),1301b07; v5.8.50:4211; v6.23.3:13327
B040,XAU_CrossInstanceEntryLockActive,Cross-instance & duplicate-trade locks,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_CrossInstanceEntryLockActive() / XAU_TryClaimEntryLock(),All setups,8eedfad,2026-07-09,v6.20.3,Prevent duplicate entries from multiple EA instances on the same account,HARD,HARD,off by default per v6.20.4 commit message ('cross-instance entry lock off by default'),lock active for direction,return false (inside OpenTrade()),EXECUTION_FUNNEL BLOCK CrossInstanceEntryLock,yes,yes,"B016 (HIVE VETO -- older, signature-based dedup)",52fd616 (v6.20.4 changed default to off),DEFAULT-OFF but code path active,absent,"present (v6.23.3:17679, inside OpenTrade())",low (default off),low,"MERGE (with B016 HIVE VETO -- two dedup systems, one default-off)",8eedfad; 52fd616; v6.23.3:17679
B041,XAU_RecoveryExpansionBasketVeto,Basket restriction / recovery-state restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,XAU_RecoveryExpansionBasketVeto(),Recovered/expanded baskets,25c59ed,2026-07-10,v6.20.5,Veto basket expansion during a recovered-trade-expansion episode under specific PnL/R conditions,HARD,HARD,always-on,totalPnL/basketRDollars condition,return false,"(function-level, RECOVERY_EXPANSION_EXIT_VETO tag)",yes,no,,unconfirmed,yes,absent,present (v6.23.3:19230),low-medium,medium,INVESTIGATE_MORE,25c59ed; v6.23.3:19230
B042,OLD_DIRECTION_EXHAUSTION_HARD_BLOCK,Trend-following restriction / exhaustion / transition-state,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,Adaptive Transition Authority (inline),PRIMARY/RE_ENTRY/RECOVERY/RETRY/PYRAMID in exhausted direction,c34d020,2026-07-14,v6.23.1,Hard-invariant block on ALL autonomous entry sources in the old (exhausted) direction once exhaustion score >= InpTransitionExhaustThreshold (70%%),"HARD (explicitly designed as a hard invariant per RELEASE_CHECKLIST v6.23.1 entry: '70%% hard invariant blocks PRIMARY, RE_ENTRY, RECOVERY, RETRY, and PYRAMID in the exhausted direction')",HARD,InpTransitionExhaustThreshold=70.0,exhaustion score >= 70,blocks 5 different entry source types simultaneously,OLD_DIRECTION_EXHAUSTION_HARD_BLOCK,yes,"yes (by design -- blocks 5 categories at once, the broadest-reach blocker in this inventory)",(none -- it IS the consolidation of several older per-path checks per its own release notes),introduction commit is itself the strengthening event,yes,absent,present,"VERY HIGH (blocks 5 entry categories at once, by design, whenever exhaustion >=70%%)","medium (newest, least field-tested mechanism in the whole inventory -- 1 day old at HEAD)",INVESTIGATE_MORE (newest broad-reach hard invariant; needs a dedicated false-block audit before being trusted the way older gates have been),c34d020; RELEASE_CHECKLIST.md v6.23.1 entry; v6.23.3 InpTransitionExhaustThreshold=1831
B043,REVERSAL_DIRECTION_VALID_BUT_WAIT_FOR_PULLBACK,Continuation-entry restriction,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,Adaptive direction/entry-location authority (inline),Reversal continuation entries,d17ed78,2026-07-14,v6.23.1-repair,"Explicitly hold a trade even when direction is confirmed correct, pending a pullback","HARD (delay, not permanent block)",HARD,always-on,direction valid AND pullback criteria unmet,delay entry,REVERSAL_DIRECTION_VALID_BUT_WAIT_FOR_PULLBACK,yes,no,,introduction commit is the strengthening event,yes,absent,present,HIGH -- directly answers task Q14 (prevent continuation after strong move even when direction is correct) by name,HIGH -- exactly the failure pattern the v6.23.3 release fixed for a sibling mechanism (failedImpulseBlock/B045); this one was NOT covered by that fix,INVESTIGATE_MORE (apply same continuation-health-score treatment as B045),d17ed78; git log -S REVERSAL_DIRECTION_VALID_BUT_WAIT_FOR_PULLBACK
B044,SOFT_BLOCK_CONVERTED mechanism,Signal-generation blocker (soft-to-hard conversion),backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (blockClass assignment) / XAU_ModeAllowsSoftBlockWarning() / XAU_LogSoftBlockDowngrade(),All setups,d11acf8 (tag); 528c080 (softening framework functions),2026-07-01,v6.4.21,Formalize converting an informational/soft signal into a hard rejection under certain trade-mode conditions,mixed (can go either direction per tag name),unchanged,depends on trade mode,mode-dependent,blockClass reassigned,SOFT_BLOCK_CONVERTED,yes,no,,unconfirmed,yes,absent,present (v6.23.3:31312),UNKNOWN -- full trigger logic not exhaustively traced,"HIGH -- the single most direct piece of evidence in the codebase that the exact pattern the user described (informational signals hardening into rejections) is a named, intentional mechanism",INVESTIGATE_MORE (highest-priority follow-up item -- trace every call site),d11acf8; 528c080; v6.23.3:31312; DUPLICATED_AND_CONTRADICTORY_BLOCKERS.md SS7
B045,"failedImpulseBlock (continuation-health, partially fixed in v6.23.3)",Continuation-entry restriction / exhaustion,backend/ea_code/XAUUSD_AI_Sniper_EA.mq5,inline (continuationHealthTier / failedImpulseBlock),TREND_PULLBACK / trend continuation,part of B008's original 5-condition OR (pre-v6.17.16),2026-05-19 (as part of XAUEntryTimingGuard's blockClass),v5.8.18-era,"Block continuation entries that show no rejection wick after an impulse, treating that as 'impulse failed'","HARD (via B008's HARD_BLOCK label, only fully enforced after 5cb2bb8/v6.17.16)","HARD but now GATED by a 5-tier continuation-health score (only FAILED_IMPULSE tier, and only when room/location/divergence anti-chase gates also hold)",InpXAU_BlockFailedImpulse (default true) + InpXAU_ContinuationHealthFailedMax=30.0,continuationHealthScore <= 30 (FAILED_IMPULSE tier) AND anti-chase gates hold,return,CONTINUATION_HEALTH: tier=%s score=%.0f room=%.2fATR badLoc=%s divergence=%s override=%s,yes,yes,B008 (same original OR-chain),"e13d669 (v6.23.3) is the SOFTENING commit -- proven in its own replay validation: 1 genuine missed winner correctly rescued (+1.00 ATR in its favor), 3 regime-misaligned re-checks correctly still blocked",yes,present as part of B008,"present (v6.23.3:30972-31506, now soft-tiered)","was VERY HIGH before v6.23.3 (documented: hard-blocked 14 of 42 grade-A/A+/B trend candidates, 33%%, in one audited VPS session -- exactly the cleanest strongest continuations)",reduced by v6.23.3's own fix but not eliminated,"SOFTEN (already partially done in v6.23.3 -- the one blocker in this inventory with a clean, evidence-backed, already-shipped fix; consider applying the same treatment to B027/B028/B043 siblings)","e13d669 commit message (full text); v6.23.3:2232,30972-31506"
